"All Ideas"
ID,Subject,Idea,Anonymous,"Created At","User ID","User Name","User Email",Department
1,TEST,TEST,No,"2022-03-27 18:05:34",12456,444@gmail.com,Marketing
Comments
Comment,Anonymous,"Created At","User ID","User Name","User Email",Department
"ur mom",No,"2022-03-28 17:01:10",2,Carol,chianxin@gmail.com,IT
youyu,No,"2022-03-28 20:00:21",2,Carol,chianxin@gmail.com,IT
weqeqqweqw,No,"2022-03-30 12:49:54",2,Carol,chianxin@gmail.com,IT
weqeqqweqw,No,"2022-03-30 12:50:21",2,Carol,chianxin@gmail.com,IT
edwde,No,"2022-04-09 06:47:50",4,camille,camille@gmail.com,IT
"test 1st comment",No,"2022-04-09 20:51:53",4,camille,camille@gmail.com,IT
ID,Subject,Idea,Anonymous,"Created At","User ID","User Name","User Email",Department
2,"TEST ooo",yoo,No,"2022-03-27 19:06:27",Carol,chianxin@gmail.com,IT
Comments
Comment,Anonymous,"Created At","User ID","User Name","User Email",Department
2131233,No,"2022-03-30 12:51:44",2,Carol,chianxin@gmail.com,IT
"2nd comment",No,"2022-03-30 12:51:44",2,Carol,chianxin@gmail.com,IT
"test 2nd comment",No,"2022-04-09 20:52:00",4,camille,camille@gmail.com,IT
ID,Subject,Idea,Anonymous,"Created At","User ID","User Name","User Email",Department
3,"Free Money for all",$$$$$$,No,"2022-03-30 10:15:57",Carol,chianxin@gmail.com,IT
Comments
Comment,Anonymous,"Created At","User ID","User Name","User Email",Department
"this is a comment",No,"2022-03-30 17:22:35",2,Carol,chianxin@gmail.com,IT
"test 3rd comment",No,"2022-04-09 20:52:07",4,camille,camille@gmail.com,IT
ID,Subject,Idea,Anonymous,"Created At","User ID","User Name","User Email",Department
4,"Free Money for all",$$$$$$,No,"2022-03-30 10:15:57",camille,camille@gmail.com,IT
